table,capability,cols,fk_out,fk_in,policies,triggers,create_migration,code_usage,real_refs,db_comment,decision,owner
notificaciones_asistencia,protección/seguimiento,21,0,0,3,1,"020_notificaciones_asistencia.sql","referenciada: modules/metricas/services/attendanceNotificationService.js",1,"",,
notificaciones_caja,finanzas,17,3,0,5,0,"","referenciada: portales/fin/src/lib/supabaseManager.ts",1,"",,
observaciones_alumnos,protección/seguimiento,18,4,0,8,2,"schema_reference.sql (sin fecha)","referenciada: modules/admin-dashboard/api/academicReportsApi.js, modules/asistencias/api/asistenciasSupabase.js",3,"",,
patrocinantes,alianzas/comunicaciones,9,0,1,2,0,"","solo autogen",0,"",,
patrocinios,alianzas/comunicaciones,10,3,0,2,0,"","referenciada: portales/fin/src/views/BecasView.tsx",1,"",,
planificacion,académico,14,0,0,3,0,"schema_reference.sql (sin fecha)","referenciada: core/moduleCatalog.js, main-maestros.js",3,"",,
planificacion_nodos,académico,12,1,1,1,0,"portal-maestros-tables.sql (sin fecha)","solo autogen",0,"DEPRECATED: usar routes hierarchy",,
planned_content,académico,8,3,0,5,0,"20260510_create_planned_content.sql","referenciada: portal-maestros/services/rutaGameificadaService.js",1,"Planificacion diaria de contenido por sesion de clase.",,
planning_documents,académico,10,2,0,5,0,"012_planning_documents.sql","referenciada: portal-maestros/services/planningDocService.js",1,"",,
prospeccion_log,alianzas/comunicaciones,10,0,0,2,0,"20260626_campanias_marketing.sql","solo autogen",0,"",,
protocolos,operaciones/reportes,8,0,0,2,0,"","referenciada: portales/calendario/src/presentation/components/calendar/CalendarItemDrawer.tsx",1,"",,
rachas,protección/seguimiento,5,1,0,2,0,"schema_reference.sql (sin fecha)","referenciada: scripts/reset_produccion_periodo_20260810.js",1,"",,
repertoire_fragments,académico,7,1,0,2,0,"20260622_audiciones_integration_fixes.sql","solo autogen",0,"",,
retenciones_instrumento,protección/seguimiento,17,4,0,2,2,"20260904023143_seguimiento_ausentes_foundation.sql","referenciada: modules/pedagogico/services/seguimientoAusentesService.js",1,"Retencion temporal del instrumento de un alumno por ausentismo (nivel 3).",,
ruta_contenido_objetivos,académico,8,2,1,3,0,"20260530_create_rutas_contenido.sql","referenciada: modules/planificacion/api/rutasApi.js",1,"",,
rutas_contenido,académico,14,3,3,3,0,"20260530_create_rutas_contenido.sql","referenciada: modules/planificacion/api/rutasApi.js",1,"",,
schedule_run_feedback,académico/operaciones,6,2,0,3,0,"20260525_horario_schedule_run_feedback.sql","referenciada: modules/horario-builder/api/scheduleFeedbackApi.js",1,"",,
schedule_runs,académico/operaciones,8,0,1,1,0,"20260524_schedule_runs.sql","referenciada: scripts/check-schedule-runs.js, modules/horario-builder/api/horarioBuilderApi.js",3,"",,
score_compromiso,protección/seguimiento,13,2,0,1,0,"","solo autogen",0,"",,
seguimiento_ausencias_reinicio,protección/seguimiento,6,2,0,2,0,"20260904120000_seguimiento_ausentes_reinicio_y_suspension.sql","referenciada: modules/pedagogico/services/seguimientoAusentesService.js",1,"",,
service_account_observations,operaciones/reportes,12,1,0,2,0,"20260823230000_service_accounts_dashboard.sql","sin referencia",0,"",,
service_accounts,operaciones/reportes,12,0,1,3,0,"20260823230000_service_accounts_dashboard.sql","solo autogen",0,"",,
sesion_bitacora,académico,14,3,0,2,1,"","solo autogen",0,"",,
student_case_actions,protección/seguimiento,13,2,0,1,0,"20260608_seguimiento_institucional.sql","referenciada: modules/pedagogico/services/caseActionsService.js, modules/pedagogico/services/studentCasesService.js",2,"",,
